name,material type,seating type,speed,height,length,num inversions,manufacturer,park,status
Ant Farm Express,Steel,Sit Down,35,9,207,0,Vekoma,Wild Adventures,status.operating
Antelope,Wooden,Sit Down,,,,,na,Gulliver's World Warrington,status.operating
Anubis,Steel,Sit Down,90,34,600,3,Gerstlauer,Plopsaland,status.operating
Apocalypse,Steel,Sit Down,64,23,725,2,Vekoma,Lunapark Cap d'Agde,status.operating
Apocalypse,Steel,Stand Up,89,31,884,2,B&M,Six Flags America,status.closed.definitely
Apocalypse,Wooden,Sit Down,89,31,869,0,GCI,Six Flags Magic Mountain,status.closed.temporarily
Apollo Coaster,Steel,Sit Down,50,12,434,0,Pinfari,Kingoland,status.operating
Apollo's Chariot,Steel,Sit Down,118,52,1488,0,B&M,Busch Gardens Williamsburg,status.operating
Apple Ride,Steel,Sit Down,,,,0,na,Foire,status.unknown
Apple Zapple,Steel,Sit Down,56,16,400,0,Mack,Kings Dominion,status.operating
Aqua Dive,Steel,Water Coaster,,,,0,na,EsselWorld,status.operating
Aqua Wind,Steel,Sit Down,60,,,0,Gerstlauer,Lagunasia,status.operating
Arashi,Steel,4th Dimension,61,37,311,0,S&S,Nagashima Spa Land,status.operating
Arctic Blast,Steel,Sit Down,,,,0,Mack,Ocean Park,status.operating
Arena Coaster,Steel,Alpine,,,1130,0,Wiegand,Zillertal Arena,status.operating
Arkansas Twister,Steel,Sit Down,,29,1018,0,Michael Black and Associates,Magic Springs & Crystal Falls,status.operating
Arkham Asylum - Shock Therapy,Steel,Inverted,80,33,765,5,Vekoma,Warner Bros. Movie World,status.operating
Arthur,Steel,Inverted,31,14,505,0,Mack,Europa Park,status.operating
ASEAN Express,na,Sit Down,75,35,285,,Vekoma,Fantawild Asian Legends,status.operating
Aska,Wooden,Sit Down,80,30,1081,0,Intamin,Nara Dreamland,status.closed.definitely
Astro Storm,Steel,Sit Down,45,11,,0,Zierer,Brean Leisure Park,status.operating
Astropax 18,Steel,Sit Down,,,,1,Pax,VVC Wheel Park,status.operating
Atlantica SuperSplash,Steel,Water Coaster,80,30,390,0,Mack,Europa Park,status.operating
Atlantis Adventure,Steel,Water Coaster,75,22,670,0,Intamin,Lotte World,status.operating
Atlantis Spin,na,Spinning,35,11,325,0,Golden Horse,Bali Safari and Marine Park,status.operating
Atomic Coaster,Steel,Sit Down,80,38,265,1,Meisho Amusement Machines,Japan Monkey Park,status.closed.definitely
Auto BergBahn,Wooden,Sit Down,,,,0,na,Wiener Prater,status.operating
Autosled,Steel,Sit Down,48,11,335,0,Zierer,Galaxyland Amusement Park,status.operating
Avalancha,Steel,Sit Down,85,36,790,8,Intamin,Xetulul,status.operating
Avalanche,Steel,Bobsleigh,50,20,455,0,Mack,Blackpool Pleasure Beach,status.operating
Avalanche,Steel,Sit Down,,,,0,Pinfari,Foire,status.operating
Avalanche,Steel,Bobsleigh,,,,0,Mack,Kings Dominion,status.operating
Avalanche,Wooden,Sit Down,,27,725,0,S&S,Timber Falls Adventure Park,status.closed.definitely
Avatar Airbender,Steel,Sit Down,,,,0,Intamin,Nickelodeon Universe,status.operating
Avonturenslang,Steel,Sit Down,32,6,99,0,Zierer,Avonturenpark Hellendoorn,status.closed.definitely
Azteka,Steel,Sit Down,55,17,500,0,Soquet,Le Pal,status.operating
Bûche dansante,Steel,Spinning,,,,0,SBF,Babyland-Amiland,status.operating
Ba-a-a-Express,Steel,Sit Down,,,80,0,Mack,Europa Park,status.operating
Baby Aviator,Steel,Suspended,,,,0,na,Europark Idroscalo,status.operating
Baby Coaster,Steel,Sit Down,,,,0,na,Happy Valley Shenzhen,status.operating
Baby Pomme,Steel,Sit Down,,,,0,SBF,Babyland,status.operating
Baby Pomme,Steel,Sit Down,,,,0,na,Foire,status.operating
Back Lot Stunt Coaster,Steel,Sit Down,64,14,597,0,Premier Rides,Canada's Wonderland,status.operating
Back Lot Stunt Coaster,Steel,Sit Down,64,14,597,0,Premier Rides,Kings Dominion,status.operating
Backdraft,Steel,Sit Down,,,,0,Pinfari,Foire,status.operating
Backety-Back Scenic Railway,Wooden,Sit Down,16,,,0,John H. Brown,Crystal Beach,status.closed.definitely
Backlot Stunt Coaster,Steel,Sit Down,64,,,0,Premier Rides,Kings Island,status.operating
Backyardigans: Mission to Mars,Steel,Sit Down,35,9,207,0,Vekoma,Movie Park Germany,status.operating
Bad Trip,na,Spinning,33,11,310,0,Cedeal ride,Europark,status.operating
Balder,Wooden,Sit Down,90,36,1070,0,Intamin,Liseberg,status.operating
Bambo Coaster,Steel,Sit Down,,,,0,Soquet,Salitre Magico,status.operating
Banana Coaster,Steel,Sit Down,27,,131,0,Sansei Yusoki,Pleasure Garden,status.operating
Bandidos,Steel,Spinning,,,,0,SBF,La Mer de Sable,status.operating
Bandit,Wooden,Sit Down,80,28,1099,0,RCCA,Movie Park Germany,status.operating
Bandit,Steel,Sit Down,110,60,1560,0,Togo,Yomiuriland,status.operating
Bandit Bomber,Steel,Inverted,50,23,515,0,Vekoma,Yas Waterworld,status.operating
Banshee,Steel,Inverted,110,51,1260,7,B&M,Kings Island,status.operating
Banzai,Steel,Sit Down,100,36,,0,Troisne,Magic World,status.operating
Barnstormer,Steel,Sit Down,39,9,222,0,Zierer,Adventure Island,status.operating
Barnstormer,Steel,Sit Down,40,9,,0,Vekoma,Disney's Magic Kingdom,status.operating
Barnyard Barnstormer,Steel,Sit Down,,,,0,Zamperla,Nickelodeon Universe,status.operating
Baron 1898,Steel,Floorless,90,38,500,2,B&M,Efteling,status.operating
Bat,Steel,Sit Down,76,36,285,3,Vekoma,Canada's Wonderland,status.operating
Bat,Steel,Suspended,82,24,716,0,Arrow,Kings Island,status.operating
Bat,Steel,Suspended,42,15,342,0,Vekoma,Lagoon,status.operating
Bat Coaster,Steel,Inverted,70,20,400,2,Pinfari,Antibesland,status.relocated
Bat Coaster,Steel,Inverted,70,20,400,2,Pinfari,Foire,status.operating
Bat Coaster,Steel,Inverted,70,20,400,2,Pinfari,Global Village,status.relocated
Bat Coaster,Steel,Inverted,70,20,400,2,Pinfari,Nigloland,status.relocated
Bat From Heaven,na,Suspended,,,,0,na,Water Park,status.operating
Bat Hatari: Perseguição em Gotham City,na,Sit Down,,,,0,Zamperla,Hopi Hari,status.operating
Batflyer,Steel,Suspended,36,,147,0,Caripro,Nasu Highland Park,status.operating
Batman,Steel,Sit Down,,10,,0,Fabbri,Furuvik,status.relocated
Batman,Steel,Sit Down,,10,,0,Fabbri,Malmö Folkets Park,status.closed.definitely
Batman,na,Sit Down,,,,,Fabbri,Tir Prince Family Funfair,status.operating
Batman - The Ride,Steel,Inverted,80,32,823,5,B&M,Six Flags New Orleans,status.closed.definitely
Batman And Robin: The Chiller,Steel,Sit Down,113,61,347,5,Premier Rides,Six Flags Great Adventure,status.closed.definitely
Batman The Ride,Steel,Inverted,81,32,821,5,B&M,Six Flags Great Adventure,status.operating
Batman The Ride,Steel,Inverted,81,31,823,5,B&M,Six Flags Great America,status.operating
Batman the Ride,Steel,Inverted,80,32,823,5,B&M,Six Flags Magic Mountain,status.operating
Batman the Ride,Steel,Inverted,80,34,689,5,Vekoma,Six Flags Mexico,status.operating
Batman The Ride,Steel,Inverted,81,32,823,5,B&M,Six Flags Over Georgia,status.operating
Batman the Ride,Steel,Inverted,81,32,823,5,B&M,Six Flags Over Texas,status.operating
Batman The Ride,Steel,Inverted,81,32,821,5,B&M,Six Flags St Louis,status.operating
Batman: Arkham Asylum,Steel,Inverted,80,32,823,5,B&M,Parque Warner Madrid,status.operating
Batman: The Dark Knight,Steel,Floorless,89,36,793,5,B&M,Six Flags New England,status.operating
Batman: The Ride,Steel,4th Dimension,61,37,310,0,S&S,Six Flags Discovery Kingdom,status.announced
Batman: The Ride,Steel,4th Dimension,61,36,310,0,S&S,Six Flags Fiesta Texas,status.operating
Battle of Blue Fire,Steel,Sit Down,100,38,1056,4,Mack,Quancheng Euro Park,status.operating
Battle of Jungle King (Dragon),Steel,Sit Down,,,,3,Golden Horse,Hefei Wanda Theme Park,status.operating
Battle of Jungle King (Tiger),Steel,Sit Down,,,,2,Golden Horse,Hefei Wanda Theme Park,status.operating
Batwing,Steel,Flying,81,35,1018,5,Vekoma,Six Flags America,status.operating
Bavarian Beetle,Steel,Sit Down,,18,244,0,S.D.C.,Kings Island,status.closed.definitely
Bayern Express,Steel,Sit Down,43,,600,0,Soquet,Nigloland,status.relocated
Bayerwald-Coaster,Steel,Alpine,,,735,0,Wiegand,Egidi-Buckel Rodelparadies,status.operating
Bayside Coaster,Steel,Sit Down,,,,0,Meisho Amusement Machines,Onokoro,status.closed.definitely
Bear Trax,Steel,Sit Down,,,,0,na,Seabreeze,status.unknown
Beast,Wooden,Sit Down,104,34,2243,0,Charlie Dinn,Kings Island,status.operating
Beastie,Steel,Sit Down,25,5,,0,Pinfari,Alton Towers,status.closed.definitely
Beastie,Steel,Sit Down,60,14,457,0,Philadelphia Toboggan Coaster,Wonderland Sydney,status.closed.definitely
Beaver Land Mine Ride,Steel,Sit Down,36,8,360,0,Zierer,Geauga Lake,status.closed.definitely
Beehive Coaster,na,Sit Down,,,,,na,Dreamland,status.operating
Behemoth,Steel,Sit Down,124,70,1621,0,B&M,Canada's Wonderland,status.operating
Ben 10 Ultimate Mission,Steel,Sit Down,55,20,180,0,Vekoma,Drayton Manor,status.operating
Berg und Tal,Steel,Sit Down,,,,0,Pinfari,Foire,status.operating
Big Adventure Coaster,na,na,,,,0,Senyo Kogyo,Adventure World,status.operating
Big Air,Steel,Sit Down,108,64,165,0,Vekoma,E-DA Theme Park,status.operating
Big Apple,Steel,Sit Down,,,,0,Pinfari,Blackpool Pleasure Beach,status.closed.definitely
Big Apple,Steel,Sit Down,,,,0,Pinfari,Botton's Pleasure Beach,status.operating
Big Apple,Steel,Sit Down,,,,0,na,Codona's Amusement Park,status.operating
Big Apple,Steel,Sit Down,,,,0,Pinfari,EsselWorld,status.operating
Big Apple,na,Sit Down,,,,,Pinfari,Flamingo Park,status.closed.temporarily
Big Apple,Steel,Sit Down,,,,0,na,Foire,status.operating
Big Apple,na,Sit Down,,,,,na,Great Yarmouth Pleasure Beach,status.operating
Big Apple,na,Sit Down,,,,,Pinfari,M&D Scotland's Theme Park,status.operating
Big Apple,na,Sit Down,,,,,na,Ocean Beach Pleasure Park,status.operating
Big Apple,Steel,Sit Down,,,,0,na,Parc Avenue,status.closed.definitely
Big Apple,na,Sit Down,,,,,na,Parc d'Attraction BBA,status.operating
Big Apple,Steel,Sit Down,,,,0,Pinfari,Southport Pleasureland,status.closed.definitely
Big Apple,na,Sit Down,,,,,D.P.V. Rides,The Milky Way Adventure Park,status.operating
Big Apple,na,Sit Down,,,,,na,West Sands Fun Fair,status.operating
Big Apple (Champetier),Steel,Sit Down,,,,0,Pinfari,Foire,status.operating
Big Apple (Naisse),Steel,Sit Down,,,,0,Pinfari,Foire,status.operating
Big Apple Coaster,Steel,Sit Down,108,62,1456,2,Togo,New York-New York Hotel,status.operating
Big Bad John,Steel,Sit Down,60,13,716,0,Arrow,Magic Springs & Crystal Falls,status.operating
Big Bad Wolf,Steel,Suspended,77,31,853,0,Arrow,Busch Gardens Williamsburg,status.closed.definitely
Big Bang,Steel,Sit Down,65,22,530,0,Zierer,Freizeitpark Familienland,status.operating
Big Bend,Steel,Sit Down,84,25,877,0,Schwarzkopf,Six Flags Over Texas,status.closed.definitely
Big Bend,Steel,Sit Down,84,25,877,0,Schwarzkopf,Six Flags St Louis,status.closed.definitely
Big Boom,Steel,Sit Down,88,38,650,1,Meisho Amusement Machines,Nasu Highland Park,status.operating
Big Coaster,Steel,Sit Down,,,,0,Pinfari,Wonderland Amusement Park,status.operating
Big Dipper,Wooden,Sit Down,,18,1006,0,William Strickler,Blackpool Pleasure Beach,status.operating
Big Dipper,Steel,Sit Down,,,,0,National Amusement Devices,Camden Park,status.operating
Big Dipper,Wooden,Sit Down,52,20,817,0,John Miller,Geauga Lake,status.closed.definitely
Big Dipper,Steel,Sit Down,,5,,0,Chance Rides,Michigan's Adventure,status.operating
Big Dipper,Steel,Sit Down,,,,0,na,Ocean Beach Amusement Park,status.unknown
Big Grizzly Mountain Runaway Mine Cars,Steel,Sit Down,56,,1100,0,Vekoma,Hong Kong Disneyland,status.operating
Big Loop,Steel,Sit Down,63,30,706,4,Vekoma,Heide Park,status.operating
Big One,Steel,Sit Down,120,65,1675,0,Arrow,Blackpool Pleasure Beach,status.operating
Big Roller Coaster,Steel,Sit Down,,14,460,0,Mondial ,Foire,status.operating
Big Squale,Steel,Sit Down,30,3,100,0,Zamperla,Foire,status.operating
Big Thunder Mountain,Steel,Sit Down,60,22,1500,0,Vekoma,Disneyland Park,status.operating
Big Thunder Mountain,Steel,Sit Down,45,,814,0,Walt Disney Imagineering,Disneyland Park,status.operating
Big Thunder Mountain,Steel,Sit Down,60,,,0,Vekoma,Tokyo Disneyland,status.operating
Big Thunder Mountain Railroad,Steel,Sit Down,58,,847,0,Arrow,Disney's Magic Kingdom,status.operating
Big Whirl Wind,Steel,Sit Down,87,,983,0,Schwarzkopf,Wonder Island,status.operating
Bisvaermen,na,Spinning,,,,,SBF,Tivoli Friheden,status.operating
Bizarro,Steel,Floorless,98,43,1214,7,B&M,Six Flags Great Adventure,status.operating
Black Diamond,Steel,Sit Down,,11,,0,Philadelphia Toboggan Coaster,Knoebels,status.operating
Black Hole,Steel,Sit Down,65,14,585,0,Schwarzkopf,Alton Towers,status.closed.definitely
Black Hole,Steel,Sit Down,,,,0,Zierer,Foire,status.operating
Black Hole 2000,na,Sit Down,85,35,974,2,na,Seoul Land,status.operating
Black Hole Coaster,Steel,Sit Down,,,,,Vekoma,Dream World,status.operating
Black Hole Scramble,Steel,Sit Down,,,,0,Nippon,Space World,status.closed.definitely
Black Mamba,Steel,Inverted,80,26,,4,B&M,Phantasialand,status.operating
Blackhole Coaster,na,Sit Down,,,400,,Zamperla,Greenland,status.operating
Blauer Enzian,Steel,Sit Down,,,,0,Mack,Freizeit-Land Geiselwind,status.operating
Blauer Enzian,Steel,Sit Down,36,4,250,0,Mack,Toshimaen,status.operating
Blazing Fury,Steel,Sit Down,,,,0,na,Dollywood,status.operating
Blizzard,Steel,Sit Down,,,,0,Cavazza Diego,Legendia,status.closed.definitely
Blue Fire,Steel,Sit Down,100,38,1056,4,Mack,Europa Park,status.operating
Blue Flyer,Steel,Sit Down,,,700,0,Charles Paige,Blackpool Pleasure Beach,status.operating
Blue Harvest,Steel,Inverted,100,34,,0,B&M,Gröna Lund,status.announced
Blue Hawk,Steel,Sit Down,84,37,836,5,Vekoma,Six Flags Over Georgia,status.operating
Blue Streak,Wooden,Sit Down,64,24,780,0,Philadelphia Toboggan Coaster,Cedar Point,status.operating
Blue Streak,Wooden,na,,,883,0,na,Conneaut Lake Park,status.operating
Blue Streak Racer,Steel,Sit Down,,18,1067,0,na,Pacific Park,status.closed.definitely
Blue Tornado,Steel,Inverted,80,33,765,5,Vekoma,Gardaland,status.operating
BMRX,Steel,Sit Down,70,27,786,0,Schwarzkopf,Kobe Portopialand,status.closed.definitely
Boardwalk Bullet,Wooden,Sit Down,82,29,986,0,Gravity Group,Kemah Boardwalk,status.operating
Bob Express,Steel,Sit Down,36,10,521,0,Mack,Bobbejaanland,status.operating
Bobbaan,Steel,Bobsleigh,60,20,524,0,Intamin,Efteling,status.operating
Bobkart,Steel,Sit Down,40,,822,0,na,Nagashima Spa Land,status.operating
Bobová Dráha,na,Alpine,,,965,0,Wiegand,Heipark,status.operating
Bobovka,na,Alpine,,,775,0,Wiegand,Bobovka u mlýna,status.operating
Bobsleds,Steel,Sit Down,,,,0,na,Seabreeze,status.unknown
Bobsleigh,Steel,Sit Down,65,15,450,0,Schwarzkopf,Parc de la Vallée,status.operating
Bocasse Express,Steel,Sit Down,,,,0,Soquet,Parc du Bocasse,status.closed.definitely
Bombo,Steel,Sit Down,46,13,335,0,Vekoma,Rainbow MagicLand,status.operating
Bombora,Steel,Sit Down,50,14,320,,ART Engineering,Lagoon,status.operating
Boogie-woogie Space Coaster,Steel,Sit Down,,,,0,Senyo Kogyo,Space World,status.closed.definitely
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Bellewaerde,status.operating
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Elitch Gardens,status.operating
Boomerang,Steel,Sit Down,60,23,208,0,Vekoma,Energylandia,status.operating
Boomerang,na,Sit Down,76,35,285,,Vekoma,Fantasilandia,status.operating
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Freizeit-Land Geiselwind,status.operating
Boomerang,na,Sit Down,,,,3,Vekoma,Geroland,status.operating
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Karolinelund,status.operating
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Knott's Berry Farm,status.closed.definitely
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,La Ronde,status.operating
Boomerang,Steel,Sit Down,60,20,185,0,Vekoma,Parc des Combes,status.operating
Boomerang,Steel,Sit Down,75,35,285,3,Vekoma,Parque de la Costa,status.operating
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Playcenter São Paulo,status.operating
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Pleasure Island,status.operating
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Siam Park City,status.operating
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Six Flags Fiesta Texas,status.operating
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Six Flags Mexico,status.operating
Boomerang,Steel,Sit Down,75,36,267,3,Vekoma,Six Flags St Louis,status.operating
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Walibi Sud Ouest,status.operating
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Wiener Prater,status.operating
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Wild Adventures,status.operating
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Worlds of Fun,status.operating
Boomerang,Steel,Sit Down,76,36,285,3,Vekoma,Zygo park,status.closed.definitely
Boomerang Coast to Coaster,Steel,Sit Down,76,36,267,3,Vekoma,Darien Lake,status.operating
Boomerang Coast to Coaster,Steel,Sit Down,76,36,285,3,Vekoma,Six Flags Discovery Kingdom,status.operating
Booster Bike,Steel,Motorbike,75,15,600,0,Vekoma,Toverland,status.operating
Boulder Dash,Wooden,Sit Down,97,35,1440,0,CCI,Lake Compounce,status.operating
Boule et Bill Déboulent,Steel,Spinning,20,4,58,0,Preston & Barbieri,Parc Spirou,status.operating
Boulet de Canon,Steel,Spinning,,,,,Reverchon,Kid parc,status.operating
Broca,Steel,Sit Down,66,17,787,0,Schwarzkopf,Parque Nacional Del Café,status.unknown
Broken Rail Coaster,na,Sit Down,,,,,Golden Horse,Great Xingdong Tourist World,status.operating
Bront'O'Ring,Steel,Sit Down,,2,,0,DAL,Movieland Park,status.operating
Bruco Mela,Steel,Sit Down,,,,0,na,Europark Idroscalo,status.operating
Bruco Mela,Steel,Sit Down,,,,0,na,Foire,status.operating
Bruco Mela,Steel,Sit Down,,,,0,na,Foire,status.operating
Bruco Mela,Steel,Sit Down,,,,0,na,New Jesolandia,status.operating
Bruco Mela,Steel,Sit Down,,4,120,0,Fabbri,Safari Park,status.operating
Bruco Miniottovolante,Steel,Sit Down,22,4,120,0,D.P.V. Rides,Zoosafari Fasanolandia,status.operating
Brucomela,Steel,Sit Down,,,,0,Pinfari,Luneur,status.operating
Brucomela,na,Sit Down,,,,,na,Park Trombini,status.operating
Buffalo Mountain Coaster,Steel,Sit Down,,,,0,Zamperla,Drayton Manor,status.operating
Buffalo Ride,na,Sit Down,,,,,Zamperla,American Adventure Theme Park,status.closed.definitely
Buffalo Stampede,na,Sit Down,,,,,Zamperla,Twinlakes Park,status.operating
Bug Out,Steel,Sit Down,45,15,370,0,Maurer,Wild Adventures,status.operating
Bug Run Kiddie Rollercoaster,na,Sit Down,,,,0,D.P.V. Rides,Aussie World,status.operating
Bug Whirled,na,Spinning,,,,,SBF,Playland,status.operating
Bugs & Bees,Steel,Sit Down,,,138,0,Pinfari,Foire,status.operating
Bullet,Steel,Sit Down,81,40,,1,Schwarzkopf,Flamingo Land Theme Park and Zoo,status.closed.definitely
Bullet Coaster,na,Sit Down,134,60,,,S&S,Happy Valley Shenzhen,status.operating
Bumble Blast,Steel,Sit Down,,,,0,Gosetto,Calaway Park,status.operating
Bumerang,Steel,Sit Down,,6,,0,Heege Freizeittechnik,Familienfreizeitpark Funny-World,status.operating
Buschwhacker,na,Sit Down,4,13,1769,,Vekoma,Ratanga Junction,status.operating
Bush Beast,Wooden,Sit Down,90,28,,0,Philadelphia Toboggan Coaster,Wonderland Sydney,status.closed.definitely
Buzz Coaster,na,Sit Down,,,,,Zierer,Mikie Holiday Funland,status.operating
Buzzsaw,Steel,Sit Down,105,46,150,2,Maurer,Dreamworld,status.operating
Cú Chulainn,Wooden,Sit Down,90,32,1094,0,Gravity Group,Tayto Park,status.operating
Cagliostro,Steel,Spinning,58,17,430,0,Maurer,Rainbow MagicLand,status.operating
Calamity Mine,Steel,Sit Down,48,14,785,0,Vekoma,Walibi Belgium,status.operating
Camel Coaster,Steel,Sit Down,80,28,1200,0,Meisho Amusement Machines,Nasu Highland Park,status.operating
Canavar Dalga,Steel,Sit Down,70,6,515,0,Intamin,Wonderland Eurasia,status.construction
Cancan Coaster,Steel,Sit Down,60,26,922,0,Mack,Europa Park,status.operating
Candymonium,Steel,Sit Down,122,64,1413,0,B&M,Hersheypark,status.construction
Cannibal,Steel,Sit Down,113,64,835,4,ART Engineering,Lagoon,status.operating
Cannon Ball,Wooden,Sit Down,80,21,692,0,Philadelphia Toboggan Coaster,Lake Winnie,status.operating
Cannonball Run,Steel,Sit Down,69,20,518,0,CCI,Waterville,status.operating
Canobie Corkscrew,Steel,Sit Down,,22,,2,Arrow,Canobie Lake Park,status.operating
Canyon Blaster,Steel,Sit Down,66,29,739,4,Arrow,Adventuredome,status.operating
Canyon Blaster,Steel,Sit Down,72,17,610,0,Arrow,Great Escape,status.operating
Canyon Blaster,Steel,Sit Down,26,4,152,0,Miler Coaster,Six Flags Magic Mountain,status.operating
Cape Cobras,na,Inverted,80,33,765,5,Vekoma,Ratanga Junction,status.operating
